,Open,High,Low,Close,Volume,datetime
0,270.42,273.18,270.2,272.78,87063502,1520402400000
1,273.55,274.24,272.42,274.1,66901150,1520488800000
2,275.7,278.87,275.34,278.87,113625335,1520575200000
3,279.2,279.91,278.0801,278.52,71924793,1520830800000
4,279.84,280.41,276.03,276.72,91968937,1520917200000
5,277.81,278.02,274.67,275.3,105895079,1521003600000
6,275.88,276.61,274.43,275.0,83433038,1521090000000
7,274.5,275.39,274.14,274.2,100343673,1521176400000
8,273.35,274.3957,268.62,270.49,109208442,1521435600000
9,270.94,271.67,270.18,270.95,59757271,1521522000000
10,270.9,273.27,270.19,270.43,78709578,1521608400000
11,267.91,268.87,263.36,263.67,148785920,1521694800000
12,264.17,265.02,257.83,258.05,183534750,1521781200000
13,262.13,265.43,259.41,265.11,141956100,1522040400000
14,266.17,266.77,258.84,260.6,129941445,1522126800000
15,260.75,262.64,258.58,259.83,146452310,1522213200000
16,261.12,265.26,259.8389,263.15,124244790,1522299600000
17,262.55,263.13,254.67,257.47,186286340,1522645200000
18,258.87,261.31,256.84,260.77,119956861,1522731600000
19,256.75,264.355,256.6,263.56,123715339,1522818000000
20,265.55,266.64,264.32,265.64,82652618,1522904400000
21,263.42,265.11,258.0,259.72,179521210,1522990800000
22,261.37,264.84,259.9356,261.0,105442932,1523250000000
23,264.27,266.04,262.98,265.15,105573736,1523336400000
24,263.47,265.64,263.39,263.76,91140243,1523422800000
25,265.26,267.0,265.06,265.93,68890480,1523509200000
26,267.41,267.54,264.01,265.15,85079176,1523595600000
27,267.0,268.2,266.07,267.33,63405287,1523854800000
28,269.33,270.87,268.75,270.19,64682036,1523941200000
29,270.69,271.3,269.87,270.39,57303857,1524027600000
30,269.65,269.88,267.72,268.89,77655909,1524114000000
31,268.81,269.06,265.61,266.61,99953133,1524200400000
32,267.26,267.89,265.35,266.57,65557954,1524459600000
33,267.73,267.9762,261.28,262.98,112885452,1524546000000
34,262.91,264.13,260.85,263.63,103840948,1524632400000
35,264.79,267.2452,264.29,266.31,67731942,1524718800000
36,267.0,267.34,265.5,266.56,57053647,1524805200000
37,267.26,267.89,264.43,264.51,82182324,1525064400000
38,263.87,265.1,262.11,264.98,74203365,1525150800000
39,264.76,265.68,262.76,263.2,86368943,1525237200000
40,262.26,263.36,259.05,262.62,136311480,1525323600000
41,261.52,266.7892,261.15,266.02,91222075,1525410000000
42,266.89,268.02,266.11,266.92,55304907,1525669200000
43,266.5,267.325,265.15,266.92,67499247,1525755600000
44,267.68,269.865,267.09,269.5,59666143,1525842000000
45,270.34,272.39,270.22,272.02,72063931,1525928400000
46,272.16,273.15,271.58,272.85,59871511,1526014800000
47,273.34,274.08,272.36,272.98,54790606,1526274000000
48,271.59,271.61,270.03,271.1,87036136,1526360400000
49,271.14,272.76,271.11,272.24,53942631,1526446800000
50,271.94,273.23,271.13,272.01,56536400,1526533200000
51,271.62,272.03,270.93,271.33,64367959,1526619600000
